dt,type_id,Только населенный пункт
2021-06-14,1,Матмасы
2021-06-15,3,Уват
2021-06-15,3,Яр
2021-06-15,3,Вагай
2021-06-15,1,Тюмень
2021-06-15,3,Тобольск
2021-06-15,1,Вагай
2021-06-16,3,Муллаши
2021-06-16,3,Яр
2021-06-16,1,Новоандреевка
2021-06-16,1,Вагай
2021-06-16,3,Уват
2021-06-16,3,Вагай
2021-06-16,3,Иртыш
2021-06-16,1,Яр
2021-06-16,3,Сор
2021-06-17,3,Уват
2021-06-17,3,Тараскуль
2021-06-17,3,Вагай
2021-06-25,1,Сор
2021-06-26,1,Сор
2021-06-30,3,Вагай
2021-06-30,3,Тюмень
2021-07-01,3,Вагай
2021-07-01,1,Яр
2021-07-02,3,Вагай
2021-07-03,3,Вагай
2021-07-03,1,Окуневское
2021-07-03,1,Уктуз
2021-07-03,1,Яр
2021-07-03,1,Красноорловское
2021-07-03,1,Менжинское
2021-07-03,1,Бердюжье
2021-07-04,1,Уктуз
2021-07-04,1,Окуневское
2021-07-04,3,Менжинское
2021-07-04,3,Вагай
2021-07-04,1,Красноорловское
2021-07-05,1,Уктуз
2021-07-05,3,Уктуз
2021-07-06,3,Уктуз
2021-07-06,1,Красноорловское
2021-07-06,3,Яр
2021-07-07,3,Вагай
2021-07-07,1,Красноорловское
2021-07-07,3,Яр
2021-07-07,3,Уктуз
2021-07-07,3,Заводоуковск
2021-07-07,1,Ишим
2021-07-07,1,Менжинское
2021-07-07,1,Уктуз
2021-07-08,3,Яр
2021-07-08,3,Вагай
2021-07-08,1,Яр
2021-07-08,3,Тюмень
2021-07-08,1,Сор
2021-07-08,1,Уктуз
2021-07-08,3,Армизонское
2021-07-08,3,Лесное
2021-07-09,1,Яр
2021-07-09,3,Яр
2021-07-09,3,Ишим
2021-07-09,3,Лесное
2021-07-09,3,Вагай
2021-07-09,3,Уват
2021-07-09,1,Тюмень
2021-07-09,1,Сор
2021-07-09,4,Боровский
2021-07-09,2,Тюмень
2021-07-09,3,Ялуторовск
